timestamp,channel,value_uv
43.983900,T3,-274924.5495
43.983900,T4,122327.1516
43.983900,O2,313367.7856
44.038200,O1,-110802.5683
44.038200,T3,102978.9571
44.038200,T4,226369.0265
44.038200,O2,109206.2603
44.098500,O1,106095.0406
44.098500,T3,527.7157
44.098500,T4,7311.4881
44.098500,O2,-368506.2371
44.101100,O1,233252.8869
44.101100,T3,253735.9063
44.101100,T4,-28892.1391
44.101100,O2,27980.9985
44.104700,O1,160623.8080
44.104700,T3,-391647.8624
44.104700,T4,23841.3362
44.104700,O2,-297459.3994
44.108000,O1,212380.9591
44.108000,T3,345534.3658
44.108000,T4,265259.4883
44.108000,O2,-343406.9089
44.219400,O1,299158.6565
44.219400,T3,-384899.3283
44.219400,T4,192091.6309
44.219400,O2,12526.5613
44.222100,O1,-253304.4640
44.222100,T3,-51547.5335
44.222100,T4,-157300.3956
44.222100,O2,255834.5623
44.225700,O1,175415.7752
44.225700,T3,78381.7385
44.225700,T4,-373557.6598
44.225700,O2,53042.0367
44.229300,O1,-373738.9056
44.229300,T3,306484.6881
44.229300,T4,227307.9666
44.229300,O2,-253025.9434
44.232400,O1,397305.1545
44.232400,T3,-133140.1507
44.232400,T4,-139684.1693
44.232400,O2,247084.1225
44.279600,O1,-53270.2986
44.279600,T3,4297.7338
44.279600,T4,248732.2150
44.279600,O2,45216.9472
44.283400,O1,-393538.8557
44.283400,T3,105605.7579
44.283400,T4,186950.1337
44.283400,O2,-380640.0753
44.287100,O1,-151623.0287
44.287100,T3,136157.4812
44.287100,T4,-224717.2624
44.287100,O2,50429.7793
44.290700,O1,122831.0731
44.290700,T3,193142.4371
44.290700,T4,198059.7255
44.290700,O2,348084.7297
44.295300,O1,13100.8164
44.295300,T3,-302403.0092
44.295300,T4,-164513.0830
44.295300,O2,41493.4685
44.341500,O1,-122215.2856
44.341500,T3,-327122.9657
44.341500,T4,-204148.7460
44.341500,O2,37648.5869
44.345400,O1,41019.2539
44.345400,T3,390310.3340
44.345400,T4,180578.1103
44.345400,O2,362048.0492
44.398400,O1,-176427.8622
44.398400,T3,-110485.7100
44.398400,T4,78407.7738
44.398400,O2,-245786.1240
44.517200,O1,-314620.1032
44.517200,T3,-106527.9611
44.517200,T4,-83861.8855
44.517200,O2,-66637.2379
44.638900,O1,51528.3169
44.638900,T3,-135655.1332
44.638900,T4,182679.5319
44.638900,O2,242104.0347
44.642000,O1,-268442.9489
44.642000,T3,-392650.0789
44.642000,T4,145424.0019
44.642000,O2,-86570.2255
44.645900,O1,99991.3335
44.645900,T3,308535.3742
44.645900,T4,-126379.8388
44.645900,O2,127477.8518
44.649200,O1,-18041.7082
44.649200,T3,203967.4048
44.649200,T4,-144810.0739
44.649200,O2,-68369.1583
44.652900,O1,-111116.6610
44.652900,T3,395266.5800
44.652900,T4,89001.6662
44.652900,O2,333582.2503
44.699400,O1,26283.9349
44.699400,T3,355458.0159
44.699400,T4,-185203.6697
44.699400,O2,-317112.1975
44.703200,O1,192043.2797
44.703200,T3,382765.2911
44.703200,T4,-360997.0046
44.703200,O2,139894.5975
44.706900,O1,-286544.3571
44.706900,T3,-160141.4871
44.706900,T4,134777.5620
44.706900,O2,290026.8900
44.709700,O1,-85644.3030
44.709700,T3,-293518.0060
44.709700,T4,-41721.6828
44.709700,O2,286562.4769
44.713200,O1,-168147.9178
44.713200,T3,-106820.8822
44.713200,T4,-45703.1304
44.713200,O2,-317284.7649
44.761300,O1,203676.3434
44.761300,T3,320118.5131
44.761300,T4,37171.9882
44.761300,O2,-272641.8343
44.763400,O1,-219785.0489
44.763400,T3,-148423.4987
44.763400,T4,-145872.5149
44.763400,O2,388393.1623
44.767500,O1,-353231.4722
44.767500,T3,-142819.7554
44.767500,T4,123022.3326
44.767500,O2,111157.4782
44.770900,O1,311511.5060
44.770900,T3,-182824.6335
44.770900,T4,103065.8845
44.770900,O2,32778.2193
44.818200,O1,-105428.2314
44.818200,T3,-110568.4412
44.818200,T4,352355.8083
44.818200,O2,126135.4597
44.821100,O1,186183.3317
44.821100,T3,-282066.8557
44.821100,T4,-375437.8290
44.821100,O2,356960.3869
44.824900,O1,-271689.0182
44.824900,T3,-156418.9144
44.824900,T4,36073.2122
44.824900,O2,-93528.3296
44.828400,O1,-112118.2099
44.828400,T3,188906.2630
44.828400,T4,-306579.6264
44.828400,O2,-264647.9922
44.832300,O1,231067.2082
44.832300,T3,-56933.4575
44.832300,T4,75.1495
44.832300,O2,-190940.1644
44.879400,O1,-387520.6456
44.879400,T3,-149569.9107
44.879400,T4,351720.8995
44.879400,O2,-16247.6082
44.883100,O1,158912.5346
44.883100,T3,155005.7596
44.883100,T4,63197.5726
44.883100,O2,-193405.8420
44.937400,O1,-321176.0427
44.937400,T3,-274045.6431
44.937400,T4,-298985.5169
44.937400,O2,-276609.5014
44.940900,O1,178750.8701
44.940900,T3,307827.0802
44.940900,T4,-259643.3949
44.940900,O2,-178954.3842
44.998600,O1,389697.7412
44.998600,T3,-202612.0427
44.998600,T4,112733.8067
44.998600,O2,1979.7327
45.000600,O1,-196443.9626
45.000600,T3,-306637.8482
45.000600,T4,372228.6191
45.000600,O2,-378137.4905
45.057500,O1,-313438.8344
45.057500,T3,327832.7379
45.057500,T4,255665.9050
45.057500,O2,-167990.7522
45.061200,O1,-161666.5079
45.061200,T3,-25266.1735
45.061200,T4,-103783.0000
45.061200,O2,308156.0979
45.065400,O1,321389.9042
45.065400,T3,-330332.2709
45.065400,T4,-30736.8792
45.065400,O2,25281.7661
45.067700,O1,361365.4091
45.067700,T3,213318.3257
45.067700,T4,-45933.2521
45.067700,O2,158913.2975
45.071100,O1,87467.1087
45.071100,T3,391360.2819
45.071100,T4,-35779.3374
45.071100,O2,323278.5133
45.117900,O1,-210204.1495
45.117900,T3,-237731.4374
45.117900,T4,-104526.9137
45.117900,O2,-53122.4791
45.121600,O1,-194954.8954
45.121600,T3,78469.3811
45.121600,T4,-385924.2899
45.121600,O2,-166172.7150
45.125300,O1,301931.7987
45.125300,T3,81691.6086
45.125300,T4,-59545.2856
45.125300,O2,381239.0782
45.179300,O1,286196.8382
45.179300,T3,165578.2420
45.179300,T4,-267723.2108
45.179300,O2,-203232.9802
45.182800,O1,295584.4755
45.182800,T3,-91770.0400
45.182800,T4,133313.0519
45.182800,O2,-361010.2607
45.237500,O1,-292187.2010
45.237500,T3,22766.3067
45.237500,T4,-336240.8085
45.237500,O2,-280161.3188
45.241400,O1,169107.8864
45.241400,T3,-352328.7239
45.241400,T4,-343262.0935
45.241400,O2,156872.5296
45.297400,O1,-77720.7467
45.297400,T3,167664.4525
45.297400,T4,344740.6226
45.297400,O2,185903.3329
45.418200,O1,-158029.0029
45.418200,T3,-262180.3596
45.418200,T4,251075.5838
45.418200,O2,-378855.6074
45.597300,O1,279764.0657
45.597300,T3,-285691.0569
45.597300,T4,193811.3444
45.597300,O2,38550.6199
45.717800,O1,379370.6392
45.717800,T3,283435.3785
45.717800,T4,13746.9785
45.717800,O2,-12290.2408
45.897200,O1,-334481.1361
45.897200,T3,-91476.6898
45.897200,T4,-356628.9373
45.897200,O2,-75927.9818
46.017800,O1,167408.3909
46.017800,T3,-94738.1133
46.017800,T4,-260459.5972
46.017800,O2,-158151.8362
46.198400,O1,220108.4876
46.198400,T3,-322788.1340
46.198400,T4,135145.2512
46.198400,O2,-143150.1082
46.318300,O1,332327.8823
46.318300,T3,387722.4908
46.318300,T4,164415.9990
46.318300,O2,-132825.0567
46.497300,O1,165674.2770
46.497300,T3,-359680.0756
46.497300,T4,-280186.0190
46.497300,O2,59231.0022
46.617900,O1,75602.1113
46.617900,T3,-103952.2772
46.617900,T4,233459.9296
46.617900,O2,-155907.2204
46.797700,O1,327431.7178
46.797700,T3,10792.6858
46.797700,T4,300343.1201
46.797700,O2,300746.6198
46.917800,O1,-161924.4292
46.917800,T3,127308.4315
46.917800,T4,-157615.5850
46.917800,O2,228761.8433
47.097100,O1,-358358.2828
47.097100,T3,93825.9237
47.097100,T4,260155.8519
47.097100,O2,147497.3854
47.218200,O1,-101196.0150
47.218200,T3,-92163.0016
47.218200,T4,-171970.7217
47.218200,O2,221047.3801
47.398500,O1,357621.1879
47.398500,T3,-76791.5817
47.398500,T4,-153051.5376
47.398500,O2,-292797.1712
47.578100,O1,371230.3127
47.578100,T3,-248045.4264
47.578100,T4,-54661.6619
47.578100,O2,-320200.5768
47.757400,O1,119325.9858
47.757400,T3,-105760.1578
47.757400,T4,13368.2744
47.757400,O2,-195774.3878
47.937900,O1,388858.5554
47.937900,T3,384011.4098
47.937900,T4,112011.3983
47.937900,O2,216271.9984
48.118100,O1,-214391.8770
48.118100,T3,356164.6409
48.118100,T4,354213.4230
48.118100,O2,82009.2299
48.237800,O1,-390071.7723
48.237800,T3,99014.1033
48.237800,T4,130188.0038
48.237800,O2,-385082.6246
48.417500,O1,189784.6925
48.417500,T3,-233494.8341
